tweet,sentiment
" 이진숙 대전 MBC 사장 , 사의 표명 | 다음 뉴스 
여자 김재철 이 튀 ᆫ다 !!  ",3
" 이진숙 대전 MBC 사장 사의 표명 .  
퇴직금 은 타 고 싶 은가 보 네 .  
잘 가 시밸뇬 어 ......  
욕 도 아깝 은 뇨 ᆫ .  ",3
" 최승 호 가 부임 첫날 해고 시키 었 어야 하 는 것 이 배현진 이 아니 라 이진숙 아니 ᆫ감 !?  
물론 배현진 은 보직 변경 이고 해고 시키 ᆫ 거 ᆫ 파업 시위 미 참가 비정규직 방송 작가 들 이 지만 ..  ",3
" 올레 ~ !! 그런데 그 수많 은 기레기 쓰레기 들 은 언제 물러나 나 ..?? - 이진숙 대전 MBC 사장 , 사의 표명  ",3
" 이명박 · 박근혜 새 누리 ( 자유한국당 + 바른 정당 ) 당 정권 통치 기간 동안 MBC 를 망치 ᆫ 핵심 중 의 핵심 , 기레기 의 상징 ! 이진숙 대전 MBC 사장 .. 해임 당하 기 전 사표 를 내 어서 퇴직금 2 억 원 까지 챙기 어 가 나요 ? 다시 는 언론인 운운 하 지 말 기 ᆯ !  ",3
잔머리 쓰 는 이진숙 자진 사퇴 하 었 구나 ,3
" 이진숙 대전 MBC 사장 사의 표명 .. 퇴직금 2 억 원 | 역시 돈 스스로 사의 의 경우 퇴작금 을 받 을 수 있 지요 . 허나 
해임 은 같이 의결 시 톼직금 을 받 을 수 없 습니다 . 극우 는 
결국 돈 이 ᆸ니다 . 양심 은 없 어요 .  ",3
" 이진숙 대전 MBC 사장 , 해임 앞두 고 자진 사퇴 - 뻔뻔 하 기 ᆫ ! 퇴직금 은 무신 , 사퇴 받 어 주 지 말 고 해임 하 기 ᆯ 바라 ᆫ다 .  ",3
" 이명박 의 개 김재철 을 적극 빨 어 대 며 
대전 엠븅 신 사장 자리 까지 따 어 내 었 던 이진숙 !  
9 일자 로 사임 !  
늦 게 나마 방송 적폐 하 나 날리 었 네 ~ 
종군 기자 출신 의 명예 를 적폐부역 으로 날리 어 먹 은 기레기 로만 기억 되 ᆯ 것 !  ",3
" 진숙이 의 지난날 행태 를 보 ᆯ 때 그냥 사퇴 만 하 면 되 나 MBC 
지분 팔 어 박근혜 대선 지원 하 ᆯ려고 하 었 던 음모 는 그냥 넘기 ᆯ 것 이 ᆫ가 ? RT 이명박 · 박근혜 ' 방송 장악 ' 관여 이진숙 대전 MBC 사장 사의 표명 | 다음 뉴스  ",3
" 철벌해야 쥐 
이명박 · 박근혜 ' 방송 장악 ' 관여 이진숙 대전 MBC 사장 사의 표명 |  ",3
" 이진숙 대전 MBC 사장 , 사의 표명 | 다음 뉴스 
드디어 적폐 쓰레기 청소 완료  ",3
" 이진숙 대전 MBC 사장 , 사의 표명 | 다음 뉴스 
여자 김재철 이 튀 ᆫ다 !!  ",3
