종인이 가오슝 가는 날에도 무지 신난 참새였지,기쁨,,
가오슝은 못 가구 블라디보스톡으로,중립,,
[VIDEO] 190125 [엑사세2 6-10회 예고]가오슝 첫 미션의 승자는?,X,,
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 가오슝 가시는 분 비행기 안탔는지 방송 계속 나오는데 이름도 외웟댜,,,겁나 티엠아이",기쁨,,
~ 두번째 신혼여행 in 가오슝 ~,X,,
"민석아 세계곳곳 다니면서 먹방 크리에이터 가자!!!!
ㅋㅋㅋㅋㅋ가오슝 배낭여행자 
조용히 먹고갈게용~~",기쁨,,
‘엑소의 사다리 타고 세계여행 ? 가오슝&컨딩편’ 질주본능 & 승부욕 폭발…세훈 파격 제안 (출처 : 아시아경제 | 네이버 TV연예),X,,
자 가오슝으로 출발합니다 슝슝,기쁨,,
가오슝~슝,기쁨,,
가오슝 간다,중립,,
"저랑 같이 행복하고 재밌는 엑소 덕질 해요!!!
98성인 에리입니당 친해지기 무지 쉬워영 
공출목n지지 9명 모두 다 너무너무 사랑해여 친해져서 만나서 덕질투어도 가고 파티도 해여 우리 멘션 디엠 다 너무 좋아합니당
앑무 맘유. 같이 덕질 덕메 가오슝~",기쁨,,
"San Niu Beef Noodle Restaurant (삼우우 가오슝 우육면)

Kaohsiung, Taiwan",X,,
"[OFFICIAL] oksusu SK YouTube update with EXO

엑소의 사다리 타고 세계여행 시즌2 티저 2탄] 가오슝 컨딩 어디까지 가봤니?",,,
나도 가오슝갔을때 처음 먹었던 메뉴가 삼우우육면 이였는데ㅠㅠㅠ 시우민이 다녀간곳에서 먹었다니 행복하네ㅠㅠㅠ면은 우동크기가 맛있고 약간 느끼하다 싶으면 셀프바에 소스있는데 마늘이랑 소스랑 해먹으면 더 안느끼하고 더 맛있다ㅠㅠ,기쁨,,
올해 경수의 생일에는 가오슝에서 축하해줄수 있어서 너무 기쁘고 행복해요 (*´ω｀*) 물론 그저  오빠가 제 행복이자 제 삶의 원동력이자 삶의 이유입니다 ?’ㅅ’?  사랑해요 도경수,기쁨,,
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
뱩현이가 가오슝으로 출발합니다 슝슝슝~>< 하니까 경스 넘 웃긴가밬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 목 잡고 팔뚝 잡고 웃어 뱩현이 반응 보니까 그냥 잡은 게 아니라 저 상태로 잡고 주물렄ㅋㅋㅋㅋㅋㅋㅋ",기쁨,,
망고컬쳐는 쭤잉 지역에 있으며 렌츠탄 공자묘 옆에 있습니다. 고풍스러운 분위기에서 서양 음료를 마시는 묘미를 즐길 수 있습니다.,중립,,
별자리운세 짱... 왜냐면 오늘 가오슝 여행 일정 짤거고 아침에 아빠한테 만원 받았거든,기쁨,,
"앗SK브로드밴드의 에서 매일 저녁 6시에 방영하는  시즌2에서 엑소 멤버들이 가오슝으로 떠나면서 하나씩 챙겨 먹은 게 정관장 굿베이스의  이구나! 
이렇게 하면 파워블로거 될 수 있을거라 생각햇어",중립,,
가오슝으로 슝 ~~! ‘ㅅ’,중립,,
이번에는 가오슝에 온 세주,중립,,
애들 가오슝 출발전에 종대가 챙겨준거 정관장 굿베이스 홍삼담은 매실 스틱 이구나>~< 나 홍삼인줄 알았어 키킼,기쁨,,
"190122 엑사세 2화 
가오슝으로 어떻게 가나요~~~~",중립,,
"190122 Travel The World on EXO's Ladder S2 EP 2
[2화] 가오슝으로 슝~ feat. 공항 퍼포먼스

Link  
Tutorial",X,,
"열이 가오슝으로  가오슈~~~~~~웅  드립에 도경수 왜그랰ㅋㅋㅋ  
여리 그거보구 경수 오늘 기분좋아 보인뎈ㅋㅋㅋㅋ 오랜만에 멤버들이랑 여행가서 설렌 도경수",기쁨,,
"첸: 와 새우낚시도 있어!
세: 모?? 세훈낚시?????
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 그런게 가오슝 잇엇으면 나 여권색 뚝딱 바꿧지ㅠㅋㅋㅋㅋㅋㅋㅋㅋ",기쁨,,
"‘엑소의 사다리 타고 세계여행 ? 가오슝&컨딩편’ 질주본능 & 승부욕 폭발…세훈 파격 제안 (출처 : 아시아경제 | 네이버 TV연예) 


벌칙관련해서 파격제안을 내세웠다구??? 얼른 6시 다가와주라 (˘???ε˘??)",,,
가오슝~ 할때 찬챈을 보세요 박팔불출씨 죤대 뚫리겠다구요,기쁨,,
'엑소의 사다리 타고 세계여행' 가오슝·컨딩 여행 오늘(21일) 첫방 (출처 : 스포츠조선 | 네이버 TV연예),중립,,
부산출발 가오슝 자유여행(에어텔) 3박4일 BX-유유투어패키지,중립,,
찬열이 엑사세 언급가오슝~,기쁨,,
"가오슝[한방 단어]
- 대만의 항구 도시.",X,,
세훈 10분 + 가오슝 멤버들 10분으로 해줘요  그나저나 울 세후니 촉 대박이다,중립,,
"[중고](본체 C/상자 B)아머 걸스 프로젝트 함 앞 가오슝(영혼 웹 제한)[반다이]《발매 후·재고품)
 【中古】(本?C/箱B)ア?マ?ガ?ルズプロジェクト 艦これ 高雄（魂ウェブ限定）[バンダイ]《????在...
5,250円",X,,
가오슝으로 슈~~~~~웅 우리 경수 기분 좋아보이네,중립,,
"190122 엑사세
ㅇㅍㅇ 경뜌씨 가오슝으로 어떻게 가죠?
ㅇ♡ㅇ ??
>ㅍ< 가오 슈우우우우웅~~
^♡^ .....
찬디 옆자리 신혼여행 셀프카메라 보는 기분..",중립,,
가오슝~?ㅍ?,중립,,
[,X,,
"190126 Sat
EXO 리얼 버라이어티 ‘EXO의 사다리 타고 세계여행 2탄' - 가오슝&컨딩편 선공개 영상 : 
PM 09:00 ‘Rave Now’ :",X,,
멤바들 마니 보여주세요 .. 우육탕면은 제가 알아서 찾아 볼게요... 가오슝도 제가 알아서 공부하겠습니다 세계지리 자신있어요,중립,,
가오슝으로 가오슈~~~~웅,중립,,
가오슝 공항에 무슨 영화 부스 있는데 이건 현대 공군이네 ㅋㅋㅋㅋ 근데도 뭔가 일파청 느낌이 확 다가오고... 주인공은 아니지만 자오쥔(종승한) 나옴. 저 망할 조종사놈들...,중립,,
